address	verdict	file	flag
0041c830	EXACT	TreeconstiteratorstdTreevalstdTmaptraitsCCharString_operator_0041c830.cpp	Oy
0041c965	EXACT	CObservable_AddExclusiveObserver_0041c965.cpp	Oy
0041c972	EXACT	CObservable_AddExclusiveObserver_0041c972.cpp	Oy
0041c994	EXACT	CObservable_AddExclusiveObserver_0041c994.cpp	Oy
0041c9c0	RELOC	CLandscapeBackgroundPatch_vectordeletingdestructor_0041c9c0.cpp	Oy
0041ca1c	NO_ORACLE	global_sub0041ca1c_0041ca1c.cpp	
0041ca22	NO_ORACLE	global_sub0041ca22_0041ca22.cpp	
0041ca31	EXACT	CObservable_AddExclusiveObserver_0041ca31.cpp	Oy
0041ca3e	EXACT	CObservable_AddExclusiveObserver_0041ca3e.cpp	Oy
0041ca52	EXACT	CObservable_AddExclusiveObserver_0041ca52.cpp	Oy
0041ca6d	NO_ORACLE	global_sub0041ca6d_0041ca6d.cpp	
0041cc14	RELOC	CTCLook_GetHeadAngularVelocityMaxXY_0041cc14.cpp	Oy
0041cc2b	EXACT	CTCLook_GetHeadAngularVelocityMaxXY_0041cc2b.cpp	Oy
0041cc50	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0041cc50.cpp	Oy
