# class(module)	fnCount
CV_GhostGrannyNecklaceScript	8
CV_HeroDollsScript	8
CV_LostTraderScript	8
CLostTraderTrader	8
CV_RockTrollFirstEncounterScript	8
CV_SingingStonesScript	8
CUIScreenUnitConverter	7
CInitBaseClass	7
NLocalisation	7
CTCDayOrNightOnlySupport	7
CAnimComponentDelayTime	7
CTCEditor	7
CTCMapwho	7
CTCSolidToThing	7
CTCGift	7
CTCDNavigationSeed	7
CTCGraphicAppearanceAnimatedMesh	7
CTCGraphicAppearanceStaticMesh	7
CTCCreatureHive	7
CTCFishingSpot	7
CTCStealableItemLocation	7
CTCShotDefinitionMultiArrow	7
CTCEffectOnDie	7
CTCTextureDecal	7
CTCFineDialogue	7
CTCCameraCollision	7
CTCActionUseReadable	7
CTCActivationReceptorCreatureGenerator	7
CTCParticleAttachmentTracker	7
CTCIdleScheduler	7
CCreatureAction_PlayAnimation	7
CThingNoise	7
CWound	7
CScrollingViewport	7
CViewport	7
CHeightMap	7
CDrawGuildSeal	7
CVillageTaskTorch	7
CSimVoice	7
CCreatureAction_UseObject	7
CLandscapeBackgroundSubNodeSplitBranch	7
CAtmosProcess	7
CScriptConversation	7
CCombatAbility	7
CModeScorpionKingTailPlunge	7
CModeDragonFireBeam	7
CModeIceTrollGroundSmashIcicleAssault	7
CModeDragonStrafeBurninate	7
CCombatAction_GenericStrikeResponseKnockdownRecoverBase	7
CCreatureAction_SpiritAttack	7
CThingMap	7
CVillageTaskPatrol	7
CMenu	7
CAIStateGroup_BuyFromSeller	7
CAIStateGroup_MinionGuardFollowPlayer	7
CAIStateGroup_KidHurtSelfRunToMother	7
CAIStateGroup_LookAtInterestingThings	7
CAIStateGroup_SitInPub	7
CAIStateGroup_SeekPerceivedThing	7
CAIStateGroup_StealStealableItem	7
CAIStateGroup_RecoverStealableItem	7
CAIStateGroup_MinionSitAtSchool	7
CAIStateGroup_SitRoundCampfire	7
CAIStateGroup_SeekEnemy	7
CAIStateGroup_WorkSawingWood	7
CAIStateGroup_WorkHammerAnvil	7
CAIStateGroup_MazeDefensiveMeleeCombat	7
CAIStateGroup_BriarRose	7
CAIStateGroup_MinionReactToTrespassing	7
CAIStateGroup_DeedReactionRoot	7
CAIStateGroup_VersusScorpionKing	7
CAIStateGroup_MinionBehaviourSad	7
CAIStateGroup_WhisperPotionCombat	7
CAIStateGroup_Clean	7
CAIStateGroup_TrollBase	7
CEngineLandscapeDebugDisplay	7
CMeshBankStateBlock	7
CEngineSimulationManager	7
CPatchTesselationEdgeStrip	7
CEnginePrimitiveManagerParticleGroup	7
CLocalDetailObjectCollectionType	7
NFile	7
NGameText	7
CAnimationData	7
CProcessedInput	7
CJoystickPositionTracker	7
CManagedTextureData	7
CPlane	7
CGuiControlEditCurve	7
CGuiControlTextView	7
CAnimatedBlock	7
NVectorMath	7
CTriangleStripifier	7
CStaticFontBank	7
CFourierAnalysis	7
CQuadric	7
COptimisedVertex	7
CScriptInfoManager	7
CQ_AwakeningTheOracleScript	7
CV_HauntedHouseScript	7
CFH_Prisoner	7
CQ_HeroSoulsMotherScript	7
CCrateTeamMember	7
CQ_PrisonRaceScript	7
CMazeAtTavern	7
CTyler	7
CV_MurderTwistScript	7
CMurderTwistAssassinGuard	7
CIMEFont	6
CGameEvent	6
CGameDefinitionManager	6
CObserver	6
CSoundMap	6
CAppearanceModifierDef	6
CAnimComponentTransitionInTime	6
CRightHandedSet	6
CSubtitledMessage	6
CTCRotate	6
CTCWound	6
CTCCameraPointFixedPoint	6
CTCFamilyMember	6
CTCDInternalMarker	6
CTCGraphicAppearanceStaticMeshFadeOutOnProximity	6
CTCBob	6
CTCSummonableCreature	6
CTCRockTrollShield	6
CTCOnHeroPush	6
CTCGraphicAppearanceMultipleStaticMeshes	6
CTCDiggingSpot	6
CTCWobble	6
CTCSinglePersonOccupiable	6
CTCTavernTankard	6
CTCFlourishTarget	6
CTCDecapitation	6
CTCHasName	6
CTCGatherPointRadialArea	6
CTCSearchableContainer	6
CTCCreatureHitNotification	6
CCreatureAction_HeroLoadRangedWeapon	6
CCameraPointModeBase	6
CAnimComponentFlags	6
CAnimComponentCombatHandedness	6
CAnimComponentCombatComboChain	6
CAnimComponentCombatRecoil	6
CAnimComponentCombatMisc	6
CAnimComponentCombatFlourishTargetOffset	6
CAnimComponentStrikeSpeedMultiplier	6
CAnimComponentSetCreatureMode	6
CAnimComponentFollowingOnAnimFilter	6
CAnimComponentStrikeResponseAnim	6
CRotateAround	6
CStopWatch	6
CVillageTaskHorn	6
CVillageTaskPickCrops	6
