address	current_name	reason	category
008841c0	ListSentinel_Ctor_sz44_008841c0	ambiguous-or-no-donor-match	initializer-destructor
008841e0	StdList_Ctor_sz14_008841e0	ambiguous-or-no-donor-match	initializer-destructor
00884620	StdList_Ctor_sz20_00884620	ambiguous-or-no-donor-match	initializer-destructor
008aee40	PtrHolder_Alloc_sz18_008aee40	ambiguous-or-no-donor-match	initializer-destructor
008aefe0	StdList_Ctor_sz18_008aefe0	ambiguous-or-no-donor-match	initializer-destructor
008afcc0	StdList_Ctor_sz18_008afcc0	ambiguous-or-no-donor-match	initializer-destructor
008b22d0	PtrHolder_Alloc_sz18_008b22d0	ambiguous-or-no-donor-match	initializer-destructor
008b2340	PtrHolder_Alloc_sz18_008b2340	ambiguous-or-no-donor-match	initializer-destructor
008b23b0	PtrHolder_Alloc_sz18_008b23b0	ambiguous-or-no-donor-match	initializer-destructor
008b2790	StdList_Ctor_sz18_008b2790	ambiguous-or-no-donor-match	initializer-destructor
008b2820	StdList_Ctor_sz18_008b2820	ambiguous-or-no-donor-match	initializer-destructor
008b28b0	StdList_Ctor_sz18_008b28b0	ambiguous-or-no-donor-match	initializer-destructor
008b2c20	StdList_Ctor_sz18_008b2c20	ambiguous-or-no-donor-match	initializer-destructor
008b2cb0	StdList_Ctor_sz18_008b2cb0	ambiguous-or-no-donor-match	initializer-destructor
008b2d40	StdList_Ctor_sz18_008b2d40	ambiguous-or-no-donor-match	initializer-destructor
008ebdb0	ListSentinel_Ctor_sz10_008ebdb0	ambiguous-or-no-donor-match	initializer-destructor
008ebff0	ListSentinel_Ctor_sz10_008ebff0	ambiguous-or-no-donor-match	initializer-destructor
008f9f30	ListSentinel_Ctor_szc_008f9f30	ambiguous-or-no-donor-match	initializer-destructor
008fa040	ListSentinel_Ctor_szc_008fa040	ambiguous-or-no-donor-match	initializer-destructor
008fbd20	ListSentinel_Ctor_sz10_008fbd20	ambiguous-or-no-donor-match	initializer-destructor
0090aec0	Manager_ConstructAndRegister_0090aec0	ambiguous-or-no-donor-match	initializer-destructor
0094b730	ReturnTrue_0094b730	ambiguous-or-no-donor-match	thunk-stub-wrapper
00987670	ReturnParam_Identity_00987670	ambiguous-or-no-donor-match	thunk-stub-wrapper
00987700	ReturnParam_Identity_00987700	ambiguous-or-no-donor-match	thunk-stub-wrapper
00999f90	PtrHolder_Alloc_sz14_00999f90	ambiguous-or-no-donor-match	initializer-destructor
009aa690	ListSentinel_Ctor_sz10_009aa690	ambiguous-or-no-donor-match	initializer-destructor
009aa6c0	PtrHolder_Alloc_sz28_009aa6c0	ambiguous-or-no-donor-match	initializer-destructor
009aa6f0	PtrHolder_Alloc_sz28_009aa6f0	ambiguous-or-no-donor-match	initializer-destructor
009aa720	PtrHolder_Alloc_sz18_009aa720	ambiguous-or-no-donor-match	initializer-destructor
009aa750	PtrHolder_Alloc_sz14_009aa750	ambiguous-or-no-donor-match	initializer-destructor
009ac290	ListSentinel_Ctor_sz10_009ac290	ambiguous-or-no-donor-match	initializer-destructor
009b3430	PtrHolder_Alloc_sz18_009b3430	ambiguous-or-no-donor-match	initializer-destructor
009b3f00	StdList_Ctor_sz18_009b3f00	ambiguous-or-no-donor-match	initializer-destructor
